SHELL, 100, 0.00021709996508434415
KNUTH, 100, 0.00014089996693655849
CIURA, 100, 0.0001449999981559813
SHELL, 1000, 0.00525230000494048
KNUTH, 1000, 0.0029115999932400882
CIURA, 1000, 0.0027795000351034105
SHELL, 10000, 0.14389800000935793
KNUTH, 10000, 0.04908729996532202
CIURA, 10000, 0.03881779999937862
SHELL, 100000, 4.5373891000053845
KNUTH, 100000, 1.0586550000007264
CIURA, 100000, 0.8273776000132784
SHELL, 1000000, 182.2122895999928
KNUTH, 1000000, 21.418598100019153
CIURA, 1000000, 10.979246600007173
