SHELL, 100, 0.00019069999689236283
KNUTH, 100, 0.0001348000077996403
CIURA, 100, 0.000152299995534122
SHELL, 1000, 0.005224900000030175
KNUTH, 1000, 0.003004099999088794
CIURA, 1000, 0.0031752999930176884
SHELL, 10000, 0.15451160000520758
KNUTH, 10000, 0.0696176000055857
CIURA, 10000, 0.06557049999537412
SHELL, 100000, 4.426216000007116
KNUTH, 100000, 0.9244662999990396
CIURA, 100000, 0.6508456000010483
SHELL, 1000000, 158.23568010001327
KNUTH, 1000000, 16.015519399996265
CIURA, 1000000, 9.669340700012981
